index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
0,DSB Iba1 16_40X_CA1,0.6592592592592592,1.4833333333333334,0.9371069182389936,1.7951807228915662,60,75,135,159,1.0966300964355469,88.63372802734375,CA1,16,887,male,APP/PS1,poor,suboptimal,optimal,False
1,DSB Iba1 16_40X_CA3,2.8947368421052637,3.142857142857143,4.245283018867925,4.383116883116883,140,12,152,159,18.227672576904297,96.34952545166016,CA3,16,887,male,APP/PS1,poor,suboptimal,suboptimal,False
2,DSB Iba1 16_40X_CTX1,1.0526315789473684,2.1052631578947367,0.7581395348837209,1.8314606741573036,19,19,38,215,0.8442878723144531,13.59844207763672,CTX1,16,887,male,APP/PS1,poor,optimal,optimal,False
3,DSB Iba1 16_40X_CTX2,1.8027522935779816,1.8894230769230769,2.6419213973799125,2.700892857142857,208,10,218,229,39.40544128417969,94.93074417114258,CTX2,16,887,male,APP/PS1,poor,suboptimal,suboptimal,False
4,DSB Iba1 16_40X_CTX3,1.8125,1.949579831932773,2.13,2.3798882681564244,119,9,128,200,9.070396423339844,54.76894378662109,CTX3,16,887,male,APP/PS1,poor,suboptimal,optimal,False
5,DSB Iba1 16_40X_DG,1.0066225165562914,1.876543209876543,1.2129032258064516,2.136363636363636,81,70,151,155,1.1308670043945312,87.15362548828125,DG,16,887,male,APP/PS1,poor,suboptimal,optimal,False
6,DSB Iba1 17_40X_CA1,1.7,2.833333333333333,3.1560283687943262,4.238095238095238,6,4,10,141,2.456283569335937,5.763816833496094,CA1,17,892,female,APP/PS1,poor,optimal,optimal,False
7,DSB Iba1 17_40X_CA3,1.1904761904761905,1.7857142857142858,3.5121951219512195,4.266666666666667,14,7,21,164,5.110073089599609,6.432056427001953,CA3,17,892,female,APP/PS1,poor,optimal,optimal,False
8,DSB Iba1 17_40X_CTX1,2.2222222222222223,2.6666666666666665,1.502415458937198,2.27007299270073,15,3,18,207,1.3278961181640625,2.645301818847656,CTX1,17,892,female,APP/PS1,poor,optimal,optimal,False
9,DSB Iba1 17_40X_CTX2,2.811320754716981,2.92156862745098,3.07843137254902,3.2172131147540983,51,2,53,255,29.74271774291992,11.802101135253906,CTX2,17,892,female,APP/PS1,poor,optimal,suboptimal,False
