filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal
DSB Iba1 16_40X_CA1,0.6702127659574468,1.7027027027027026,0.9371069182389937,1.7951807228915662,37,57,94,159,1.0966300964355469,66.74537658691406
DSB Iba1 16_40X_CA3,3.0,3.260869565217391,4.245283018867925,4.383116883116883,115,10,125,159,18.227672576904297,83.35733413696289
DSB Iba1 16_40X_CTX1,1.03125,2.357142857142857,0.7581395348837209,1.8314606741573034,14,18,32,215,0.8442878723144531,5.467891693115234
DSB Iba1 16_40X_CTX2,1.7969543147208122,1.83419689119171,2.6419213973799125,2.700892857142857,193,4,197,229,39.40544128417969,80.53531646728516
DSB Iba1 16_40X_CTX3,2.026315789473684,2.138888888888889,2.13,2.3798882681564244,72,4,76,200,9.070396423339844,19.513893127441406
DSB Iba1 16_40X_DG,1.0916666666666666,2.046875,1.2129032258064516,2.1363636363636362,64,56,120,155,1.1308670043945312,70.63474655151367
DSB Iba1 17_40X_CA1,1.8888888888888888,2.8333333333333335,3.1560283687943262,4.238095238095238,6,3,9,141,2.4562835693359375,2.0333290100097656
DSB Iba1 17_40X_CA3,1.263157894736842,1.8461538461538463,3.5121951219512195,4.266666666666667,13,6,19,164,5.110073089599609,3.7955284118652344
DSB Iba1 17_40X_CTX1,2.357142857142857,3.0,1.502415458937198,2.27007299270073,11,3,14,207,1.3278961181640625,1.6919136047363281
DSB Iba1 17_40X_CTX2,2.9767441860465116,3.1219512195121952,3.0784313725490198,3.2172131147540983,41,2,43,255,29.742717742919922,7.447719573974609
DSB Iba1 17_40X_CTX3,2.388888888888889,2.388888888888889,3.5095541401273884,3.748299319727891,36,0,36,157,18.192768096923828,6.618022918701172
DSB Iba1 17_40X_DG,3.75,4.166666666666667,3.4343434343434343,4.0476190476190474,36,4,40,198,5.62286376953125,15.38534164428711
DSB Iba1 18_40X_CA1,2.2,2.2,2.3793103448275863,2.3793103448275863,5,0,5,116,71.99668884277344,4.378700256347656
DSB Iba1 18_40X_CA3,1.5,1.5,3.55,3.8035714285714284,4,0,4,60,36.4354133605957,4.350185394287109
DSB Iba1 18_40X_CTX1,2.142857142857143,2.5,1.9105263157894736,2.9754098360655736,12,2,14,190,3.3540725708007812,2.0244598388671875
