index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
0,DSB Iba1 16_40X_CA1,0.2916666666666667,1.0425531914893618,0.308080808080808,1.0338983050847457,47,121,168,198,0.1708030700683593,88.63372802734375,CA1,16,887,male,APP/PS1,poor,suboptimal,optimal,False
1,DSB Iba1 16_40X_CA3,0.6836158192090396,1.551282051282051,0.6994535519125683,1.5421686746987953,78,99,177,183,0.4139900207519531,96.34952545166016,CA3,16,887,male,APP/PS1,poor,suboptimal,optimal,False
2,DSB Iba1 16_40X_CTX1,0.0816326530612244,1.0,0.1646090534979424,1.0256410256410255,4,45,49,243,0.1000404357910156,13.59844207763672,CTX1,16,887,male,APP/PS1,poor,optimal,optimal,False
3,DSB Iba1 16_40X_CTX2,0.4291666666666666,1.2409638554216869,0.4257028112449799,1.2325581395348837,83,157,240,249,0.2180099487304687,94.93074417114258,CTX2,16,887,male,APP/PS1,poor,suboptimal,optimal,False
4,DSB Iba1 16_40X_CTX3,0.5434782608695652,1.293103448275862,0.5246636771300448,1.3928571428571428,58,80,138,223,0.2965927124023437,54.76894378662109,CTX3,16,887,male,APP/PS1,poor,suboptimal,optimal,False
5,DSB Iba1 16_40X_DG,0.2608695652173913,1.2272727272727273,0.2672811059907834,1.2340425531914894,44,163,207,217,0.1560211181640625,87.15362548828125,DG,16,887,male,APP/PS1,poor,suboptimal,optimal,False
6,DSB Iba1 17_40X_CA1,0.0909090909090909,1.0,0.3225806451612903,1.1111111111111112,1,10,11,155,0.1363754272460937,5.763816833496094,CA1,17,892,female,APP/PS1,poor,optimal,optimal,False
7,DSB Iba1 17_40X_CA3,0.2083333333333333,1.0,0.5056179775280899,1.3235294117647058,5,19,24,178,0.2896308898925781,6.432056427001953,CA3,17,892,female,APP/PS1,poor,optimal,optimal,False
8,DSB Iba1 17_40X_CTX1,0.4285714285714285,1.0,0.2438016528925619,1.0,9,12,21,242,0.1554489135742187,2.645301818847656,CTX1,17,892,female,APP/PS1,poor,optimal,optimal,False
9,DSB Iba1 17_40X_CTX2,0.5517241379310345,1.28,0.3140794223826715,1.144736842105263,25,33,58,277,0.2457618713378906,11.802101135253906,CTX2,17,892,female,APP/PS1,poor,optimal,optimal,False
10,DSB Iba1 17_40X_CTX3,0.9,1.6363636363636365,0.8595505617977528,1.7386363636363635,22,18,40,178,0.5042076110839844,9.359455108642578,CTX3,17,892,female,APP/PS1,poor,optimal,optimal,False
11,DSB Iba1 17_40X_DG,0.4222222222222222,1.2258064516129032,0.4110169491525424,1.2278481012658229,31,59,90,236,0.2449989318847656,44.40708160400391,DG,17,892,female,APP/PS1,poor,suboptimal,optimal,False
12,DSB Iba1 18_40X_CA1,0.75,1.5,0.5538461538461539,1.309090909090909,10,10,20,130,0.2682685852050781,10.935688018798828,CA1,18,231,male,APP/PS1 x Neil3 KO,poor,optimal,optimal,False
13,DSB Iba1 18_40X_CA3,1.0526315789473684,1.818181818181818,0.5684210526315789,1.3846153846153846,11,8,19,95,0.2447128295898437,7.825183868408203,CA3,18,231,male,APP/PS1 x Neil3 KO,poor,optimal,optimal,False
14,DSB Iba1 18_40X_CTX1,0.125,1.0,0.0675675675675675,1.0,3,21,24,222,0.0336647033691406,3.196430206298828,CTX1,18,231,male,APP/PS1 x Neil3 KO,poor,optimal,optimal,False
15,DSB Iba1 18_40X_CTX2,0.3043478260869565,1.0,0.1216730038022813,1.0,7,16,23,263,0.0719070434570312,5.939960479736328,CTX2,18,231,male,APP/PS1 x Neil3 KO,poor,optimal,optimal,False
16,DSB Iba1 18_40X_CTX3,0.4117647058823529,1.0,0.1733333333333333,1.181818181818182,7,10,17,150,0.0958442687988281,1.9624710083007808,CTX3,18,231,male,APP/PS1 x Neil3 KO,poor,optimal,optimal,False
17,DSB Iba1 18_40X_DG,1.4634146341463414,2.0,1.1647727272727273,1.8303571428571428,60,22,82,176,1.4016151428222656,53.77206802368164,DG,18,231,male,APP/PS1 x Neil3 KO,poor,suboptimal,optimal,False
18,DSB Iba1 19_40X_CA1,1.4893617021276595,1.891891891891892,1.680851063829787,2.135135135135135,37,10,47,47,2.264976501464844,97.84984588623048,CA1,19,154,female,APP/PS1 x Neil3 KO,poor,suboptimal,suboptimal,False
19,DSB Iba1 19_40X_CA3,1.568181818181818,2.0294117647058822,1.6888888888888889,2.111111111111111,34,10,44,45,1.8939971923828125,98.4278678894043,CA3,19,154,female,APP/PS1 x Neil3 KO,poor,suboptimal,suboptimal,False
20,DSB Iba1 19_40X_CTX1,0.6846153846153846,1.5344827586206895,0.7923076923076923,1.6885245901639343,58,72,130,130,1.1583328247070312,98.5675811767578,CTX1,19,154,female,APP/PS1 x Neil3 KO,poor,suboptimal,optimal,False
21,DSB Iba1 19_40X_CTX2,0.4782608695652174,1.2941176470588236,0.4716981132075472,1.25,17,29,46,53,0.3500938415527344,92.62237548828124,CTX2,19,154,female,APP/PS1 x Neil3 KO,poor,suboptimal,optimal,False
22,DSB Iba1 19_40X_CTX3,0.273972602739726,1.3333333333333333,0.3292682926829268,1.4210526315789471,15,58,73,82,0.1843452453613281,87.97607421875,CTX3,19,154,female,APP/PS1 x Neil3 KO,poor,suboptimal,optimal,False
23,DSB Iba1 19_40X_DG,2.4603174603174605,2.767857142857143,2.6666666666666665,2.9473684210526314,56,7,63,63,2.899456024169922,97.98297882080078,DG,19,154,female,APP/PS1 x Neil3 KO,poor,suboptimal,suboptimal,False
109,DSB Iba1 35_40X_CA1,0.5833333333333334,1.75,0.2057142857142857,1.0909090909090908,4,8,12,175,0.1018524169921875,3.268909454345703,CA1,35,305,male,APP/PS1 x Neil3 KO,poor,optimal,optimal,False
110,DSB Iba1 35_40X_CA3,0.8444444444444444,1.4074074074074074,0.6395348837209303,1.2790697674418603,27,18,45,172,0.3769874572753906,21.71812057495117,CA3,35,305,male,APP/PS1 x Neil3 KO,poor,optimal,optimal,False
111,DSB Iba1 35_40X_CTX1,0.3214285714285714,1.125,0.1975308641975308,1.0666666666666669,8,20,28,243,0.1143455505371093,4.521656036376953,CTX1,35,305,male,APP/PS1 x Neil3 KO,poor,optimal,optimal,False
112,DSB Iba1 35_40X_CTX2,0.6291390728476821,1.484375,0.5387596899224806,1.4329896907216495,64,87,151,258,0.3293991088867187,49.62272644042969,CTX2,35,305,male,APP/PS1 x Neil3 KO,poor,suboptimal,optimal,False
113,DSB Iba1 35_40X_CTX3,0.6767676767676768,1.5227272727272727,0.6230366492146597,1.469135802469136,44,55,99,191,0.3159523010253906,36.1638069152832,CTX3,35,305,male,APP/PS1 x Neil3 KO,poor,optimal,optimal,False
114,DSB Iba1 35_40X_DG,0.8632478632478633,1.5303030303030305,0.8333333333333334,1.4497041420118344,66,51,116,293,0.6481170654296875,46.29859924316406,DG,35,305,male,APP/PS1 x Neil3 KO,poor,suboptimal,optimal,False
158,DSB Iba1 44_40X_CA1,1.162790697674419,1.851851851851852,0.8807339449541285,1.6,27,16,43,109,0.6127357482910156,45.28112411499024,CA1,44,147,female,APP/PS1,poor,suboptimal,optimal,False
159,DSB Iba1 44_40X_CA3,1.6285714285714286,2.111111111111111,1.2,2.1666666666666665,27,8,35,65,1.34735107421875,48.995113372802734,CA3,44,147,female,APP/PS1,poor,suboptimal,optimal,False
160,DSB Iba1 44_40X_CTX1,1.7481481481481482,2.2264150943396226,1.5098039215686274,2.2254335260115607,106,29,135,255,1.4108657836914062,61.879920959472656,CTX1,44,147,female,APP/PS1,poor,suboptimal,optimal,False
161,DSB Iba1 44_40X_DG,1.120481927710843,1.603448275862069,1.0307692307692309,1.7402597402597402,58,25,83,130,1.018524169921875,39.72511291503906,DG,44,147,female,APP/PS1,poor,optimal,optimal,False
168,DSB Iba1 46_40X_CA1,1.0422535211267605,1.804878048780488,0.8819444444444444,1.6282051282051282,41,30,71,144,0.4220008850097656,47.70441055297852,CA1,46,253,female,APP/PS1 x Neil3 KO,poor,suboptimal,optimal,False
169,DSB Iba1 46_40X_CA3,0.7777777777777778,1.6896551724137931,0.8235294117647058,1.6231884057971016,29,34,63,136,0.4128456115722656,31.574440002441406,CA3,46,253,female,APP/PS1 x Neil3 KO,poor,optimal,optimal,False
170,DSB Iba1 46_40X_CTX1,0.672566371681416,1.3333333333333333,0.6254980079681275,1.3771929824561404,57,56,113,251,0.3165245056152344,46.37212753295898,CTX1,46,253,female,APP/PS1 x Neil3 KO,poor,suboptimal,optimal,False
171,DSB Iba1 46_40X_CTX2,0.3618421052631579,1.0377358490566038,0.3107142857142857,1.0609756097560976,53,99,152,280,0.1612663269042968,51.16119384765625,CTX2,46,253,female,APP/PS1 x Neil3 KO,poor,suboptimal,optimal,False
172,DSB Iba1 46_40X_CTX3,0.6198347107438017,1.4423076923076923,0.5488721804511278,1.46,52,69,121,266,0.2745628356933594,32.654476165771484,CTX3,46,253,female,APP/PS1 x Neil3 KO,poor,optimal,optimal,False
173,DSB Iba1 46_40X_DG,0.5543478260869565,1.4166666666666667,0.6348314606741573,1.4303797468354431,36,56,92,178,0.437164306640625,56.203651428222656,DG,46,253,female,APP/PS1 x Neil3 KO,poor,suboptimal,optimal,False
