index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
24,DSB Iba1 20_40X_CA1,0.6666666666666666,1.3333333333333333,0.7322834645669292,1.3285714285714283,3,3,6,127,0.7762908935546875,1.447296142578125,CA1,20,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
25,DSB Iba1 20_40X_CA3,1.3333333333333333,2.0,1.319148936170213,1.9375,2,1,3,94,1.1053085327148438,1.717853546142578,CA3,20,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
26,DSB Iba1 20_40X_CTX1,0.3333333333333333,1.0,0.5695364238410596,1.178082191780822,1,2,3,151,0.4868507385253906,0.8257865905761719,CTX1,20,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
27,DSB Iba1 20_40X_CTX2,2.1538461538461537,2.333333333333333,1.1654676258992809,1.6875,12,1,13,139,0.9496688842773438,2.0682334899902344,CTX2,20,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
28,DSB Iba1 20_40X_CTX3,0.6666666666666666,2.0,0.6438356164383562,1.2702702702702702,1,2,3,73,0.5314826965332031,0.5598068237304688,CTX3,20,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
29,DSB Iba1 20_40X_DG,1.4,1.75,1.5905511811023625,1.811659192825112,4,1,5,254,2.3174285888671875,2.923774719238281,DG,20,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
30,DSB Iba1 21_40X_CA1,0.7777777777777778,1.4,0.9026548672566372,1.3076923076923077,5,4,9,113,0.7778167724609375,2.5424957275390625,CA1,21,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
31,DSB Iba1 21_40X_CA3,0.5,1.0,0.967741935483871,1.6363636363636365,2,2,4,93,0.7436752319335938,1.3544082641601562,CA3,21,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
32,DSB Iba1 21_40X_CTX1,1.1764705882352942,1.818181818181818,0.6702702702702703,1.305263157894737,11,6,17,184,0.9168624877929688,3.311634063720703,CTX1,21,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
33,DSB Iba1 21_40X_CTX2,1.2727272727272727,1.5555555555555556,0.7746478873239436,1.3414634146341464,9,2,11,213,1.0347366333007812,3.338623046875,CTX2,21,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
34,DSB Iba1 21_40X_CTX3,1.6956521739130437,2.0526315789473686,1.1304347826086956,2.101010101010101,19,4,23,184,1.0148048400878906,4.697036743164063,CTX3,21,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
35,DSB Iba1 21_40X_DG,1.0588235294117647,1.5,1.3522267206477734,1.6534653465346534,12,5,17,247,2.2064208984375,3.5135269165039062,DG,21,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
36,DSB Iba1 22_40X_CA1,1.2941176470588236,2.0,1.437956204379562,2.052083333333333,11,6,17,137,1.2415885925292969,6.178569793701172,CA1,22,2041,female,APP/PS1,good,optimal,optimal,True
37,DSB Iba1 22_40X_CA3,1.3333333333333333,1.6,1.2564102564102564,2.1,5,1,6,117,1.2543678283691406,3.7606239318847656,CA3,22,2041,female,APP/PS1,good,optimal,optimal,True
38,DSB Iba1 22_40X_CTX1,1.7777777777777777,3.2,1.353191489361702,2.0921052631578947,5,4,9,235,1.403045654296875,3.637123107910156,CTX1,22,2041,female,APP/PS1,good,optimal,optimal,True
39,DSB Iba1 22_40X_CTX2,1.0555555555555556,2.111111111111111,1.1229508196721312,2.0916030534351147,9,9,18,244,1.3582229614257812,4.0191650390625,CTX2,22,2041,female,APP/PS1,good,optimal,optimal,True
40,DSB Iba1 22_40X_CTX3,0.6,1.5,0.4236111111111111,1.326086956521739,2,3,5,144,0.2514839172363281,0.730133056640625,CTX3,22,2041,female,APP/PS1,good,optimal,optimal,True
41,DSB Iba1 22_40X_DG,1.6842105263157894,2.0,1.8681672025723477,2.143911439114391,16,3,19,309,3.1919479370117188,5.748558044433594,DG,22,2041,female,APP/PS1,good,optimal,optimal,True
42,DSB Iba1 23_40X_CA1,0.5,2.0,0.7241379310344828,1.3125,1,3,4,116,0.5928993225097656,4.248046875,CA1,23,2042,male,APP/PS1,good,optimal,optimal,True
43,DSB Iba1 23_40X_CA3,0.3333333333333333,1.0,0.7738095238095238,1.4772727272727273,1,2,3,84,0.531768798828125,2.08120346069336,CA3,23,2042,male,APP/PS1,good,optimal,optimal,True
44,DSB Iba1 23_40X_CTX1,0.45,1.2857142857142858,0.41875,1.098360655737705,7,13,20,160,0.4361152648925781,5.792427062988281,CTX1,23,2042,male,APP/PS1,good,optimal,optimal,True
45,DSB Iba1 23_40X_CTX2,0.0,,0.1180555555555555,1.1333333333333333,0,2,2,144,0.0720024108886718,0.7174491882324219,CTX2,23,2042,male,APP/PS1,good,optimal,optimal,True
46,DSB Iba1 23_40X_CTX3,0.7857142857142857,1.2222222222222223,0.8529411764705882,1.4683544303797469,9,5,14,136,0.6974220275878906,2.988147735595703,CTX3,23,2042,male,APP/PS1,good,optimal,optimal,True
47,DSB Iba1 23_40X_DG,1.5,3.0,1.2266187050359711,1.5642201834862386,7,7,14,278,1.8776893615722656,7.934856414794922,DG,23,2042,male,APP/PS1,good,optimal,optimal,True
48,DSB Iba1 24_40X_CA1,0.0,,0.6666666666666666,1.5862068965517242,0,6,6,138,0.4246711730957031,0.7791519165039062,CA1,24,887,male,APP/PS1,good,optimal,optimal,True
49,DSB Iba1 24_40X_CA3,0.0,,0.6857142857142857,1.411764705882353,0,1,1,70,0.2900123596191406,0.9073257446289062,CA3,24,887,male,APP/PS1,good,optimal,optimal,True
50,DSB Iba1 24_40X_CTX1,0.0,,0.282258064516129,1.25,0,12,12,124,0.2356529235839843,1.7583847045898438,CTX1,24,887,male,APP/PS1,good,optimal,optimal,True
51,DSB Iba1 24_40X_CTX2,0.4615384615384615,1.2,0.4786324786324786,1.2873563218390804,10,16,26,234,0.5938529968261719,3.3802032470703125,CTX2,24,887,male,APP/PS1,good,optimal,optimal,True
52,DSB Iba1 24_40X_CTX3,0.0714285714285714,1.0,0.5798816568047337,1.7818181818181815,1,13,14,169,0.5388259887695312,1.4982223510742188,CTX3,24,887,male,APP/PS1,good,optimal,optimal,True
53,DSB Iba1 24_40X_DG,0.0,,0.2073170731707317,1.4166666666666667,0,5,5,164,0.1180648803710937,0.8672714233398438,DG,24,887,male,APP/PS1,good,optimal,optimal,True
54,DSB Iba1 25_40X_CA1,1.0,1.5,1.6714285714285717,2.25,4,2,6,140,1.3138771057128906,3.17068099975586,CA1,25,2014,male,APP/PS1,good,optimal,optimal,True
55,DSB Iba1 25_40X_CA3,0.5714285714285714,1.3333333333333333,1.8166666666666669,2.8684210526315788,3,4,7,120,2.0705223083496094,2.813243865966797,CA3,25,2014,male,APP/PS1,good,optimal,optimal,True
56,DSB Iba1 25_40X_CTX1,0.9230769230769232,1.3333333333333333,0.6836734693877551,1.2407407407407407,9,4,13,98,0.565338134765625,3.438568115234375,CTX1,25,2014,male,APP/PS1,good,optimal,optimal,True
