animal_id,nr_+_dna_damage_glia_nuclei,nr_+_dna_damage_all_nuclei,nr_glia_+_nuclei,nr_total_nuclei,sex,genotype,damage_load_ratio_glia_+,damage_load_ratio_total
1887,134,2175,190,3499,male,APP/PS1 x Neil3 KO,0.7052631578947368,0.6216061731923407
1891,171,1968,272,3571,female,APP/PS1 x Neil3 KO,0.6286764705882353,0.5511061327359283
1989,31,842,72,1923,female,APP/PS1,0.4305555555555556,0.437857514300572
1995,50,1024,90,2191,female,APP/PS1 x Neil3 KO,0.5555555555555556,0.4673664993153811
1996,57,1267,160,2808,female,APP/PS1 x Neil3 KO,0.35625,0.4512108262108262
2005,86,1164,123,2109,male,APP/PS1 x Neil3 KO,0.6991869918699187,0.5519203413940256
2008,86,1070,165,2403,female,APP/PS1,0.5212121212121212,0.44527673741156887
2012,98,1581,135,2310,male,APP/PS1,0.725925925925926,0.6844155844155844
2014,106,1403,199,2392,male,APP/PS1,0.5326633165829145,0.5865384615384616
2041,149,2325,256,4009,female,APP/PS1,0.58203125,0.5799451234721876
2042,162,2212,257,3837,male,APP/PS1,0.6303501945525292,0.5764920510815742
2119,69,814,97,1238,female,APP/PS1,0.711340206185567,0.6575121163166397
2121,69,877,114,1432,male,APP/PS1,0.6052631578947368,0.6124301675977654
2122,59,787,93,1208,male,APP/PS1,0.6344086021505376,0.6514900662251656
2124,55,414,78,755,male,APP/PS1,0.7051282051282052,0.5483443708609271
2140,19,642,43,1144,female,APP/PS1 x Neil3 KO,0.4418604651162791,0.5611888111888111
2141,41,807,57,1226,male,APP/PS1 x Neil3 KO,0.7192982456140351,0.6582381729200653
2142,57,772,89,1187,male,APP/PS1 x Neil3 KO,0.6404494382022472,0.6503791069924179
2143,65,798,90,1197,male,APP/PS1 x Neil3 KO,0.7222222222222222,0.6666666666666666
