index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
0,DSB GFAP 10_40X_CA1,,,0.3989071038251366,1.042857142857143,0,0,0,183,0.7945060729980469,0.2612113952636719,CA1,10,887,male,APP/PS1,good,passed,optimal,optimal,True
1,DSB GFAP 10_40X_CA3,0.7142857142857143,1.6666666666666667,0.7840909090909091,1.422680412371134,3,4,7,175,1.1803627014160156,1.0457992553710938,CA3,10,887,male,APP/PS1,good,passed,optimal,optimal,True
2,DSB GFAP 10_40X_CTX1,,,0.5718232044198895,1.2469879518072289,0,0,0,362,1.2324333190917969,0.119781494140625,CTX1,10,887,male,APP/PS1,good,passed,optimal,optimal,True
3,DSB GFAP 10_40X_CTX2,0.3333333333333333,1.0,0.7938461538461539,1.4021739130434785,1,2,3,325,1.499652862548828,1.10015869140625,CTX2,10,887,male,APP/PS1,good,passed,optimal,optimal,True
4,DSB GFAP 10_40X_CTX3,0.25,1.0,1.0292682926829269,1.54014598540146,1,3,4,205,1.8056869506835935,2.355480194091797,CTX3,10,887,male,APP/PS1,good,passed,optimal,optimal,True
5,DSB GFAP 10_40X_DG,0.5,1.5,1.3963963963963963,1.6939890710382517,2,4,6,443,3.906917572021485,1.6019821166992188,DG,10,887,male,APP/PS1,good,passed,optimal,optimal,True
6,DSB GFAP 11_40X_CA1,1.1,1.8333333333333333,0.8656716417910447,1.2210526315789474,6,4,10,134,1.2528419494628906,3.786659240722656,CA1,11,2014,male,APP/PS1,good,passed,optimal,optimal,True
7,DSB GFAP 11_40X_CA3,1.375,1.8333333333333333,1.065217391304348,1.6333333333333333,6,2,8,92,1.010417938232422,2.1776199340820312,CA3,11,2014,male,APP/PS1,good,passed,optimal,optimal,True
8,DSB GFAP 11_40X_CTX1,0.5714285714285714,1.0,0.6614173228346457,1.2537313432835822,4,3,7,127,0.5949974060058594,3.3753395080566406,CTX1,11,2014,male,APP/PS1,good,passed,optimal,optimal,True
9,DSB GFAP 11_40X_CTX2,0.5,1.0,0.6157407407407407,1.209090909090909,3,3,6,216,1.0428428649902344,2.071762084960937,CTX2,11,2014,male,APP/PS1,good,passed,optimal,optimal,True
