filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal
DSB GFAP 10_40X_CA1,,,0.3879781420765027,1.0441176470588236,0,0,0,183,0.3764152526855469,0.2612113952636719
DSB GFAP 10_40X_CA3,0.2857142857142857,2.0,0.6931818181818182,1.3863636363636365,1,6,7,175,0.5474090576171875,1.0457992553710938
DSB GFAP 10_40X_CTX1,,,0.505524861878453,1.1730769230769231,0,0,0,362,0.5392074584960938,0.119781494140625
DSB GFAP 10_40X_CTX2,0.3333333333333333,1.0,0.7476923076923077,1.4046242774566473,1,2,3,325,0.670623779296875,1.10015869140625
DSB GFAP 10_40X_CTX3,0.25,1.0,0.9317073170731708,1.4253731343283582,1,3,4,205,0.7672309875488281,2.355480194091797
DSB GFAP 10_40X_DG,0.5,1.5,1.2094594594594594,1.543103448275862,2,4,6,443,1.78070068359375,1.6019821166992188
DSB GFAP 11_40X_CA1,1.0,1.6666666666666667,0.8208955223880597,1.2359550561797752,6,4,10,134,0.5924224853515625,3.7866592407226562
DSB GFAP 11_40X_CA3,1.25,2.0,1.0,1.6140350877192982,5,3,8,92,0.4703521728515625,2.1776199340820312
DSB GFAP 11_40X_CTX1,0.5714285714285714,1.0,0.5433070866141733,1.1694915254237288,4,3,7,127,0.26378631591796875,3.3753395080566406
DSB GFAP 11_40X_CTX2,0.5,1.0,0.5555555555555556,1.1538461538461537,3,3,6,216,0.47855377197265625,2.0717620849609375
DSB GFAP 11_40X_CTX3,1.0,1.5,0.6264367816091954,1.184782608695652,4,2,6,174,0.47283172607421875,2.2012710571289062
DSB GFAP 11_40X_DG,0.8333333333333334,1.25,0.9881889763779528,1.3005181347150259,4,2,6,508,1.7968177795410156,3.403759002685547
DSB GFAP 12_40X_CA1,1.5714285714285714,1.5714285714285714,0.8802816901408451,1.3888888888888888,7,0,7,142,0.50506591796875,1.8243789672851562
DSB GFAP 12_40X_CA3,1.0,1.0,0.7448979591836735,1.3773584905660377,2,0,2,98,0.43506622314453125,0.6435394287109375
DSB GFAP 12_40X_CTX1,1.25,1.6666666666666667,0.6146341463414634,1.1150442477876106,3,1,4,205,0.5509376525878906,1.4176368713378906
DSB GFAP 12_40X_CTX2,1.0,1.0,0.7069767441860465,1.216,1,0,1,215,0.5438804626464844,0.6220817565917969
DSB GFAP 12_40X_CTX3,1.0,2.0,0.7929515418502202,1.3333333333333333,1,1,2,227,0.7149696350097656,0.6175994873046875
DSB GFAP 12_40X_DG,0.9545454545454546,1.4,1.160756501182033,1.5061349693251533,15,7,22,421,1.638031005859375,4.060173034667969
DSB GFAP 13_40X_CA1,0.0,,0.45714285714285713,1.1636363636363636,0,3,3,140,0.19102096557617188,1.4364242553710938
DSB GFAP 13_40X_CA3,0.5,3.0,1.0310077519379846,1.528735632183908,1,5,6,129,0.44841766357421875,3.6907196044921875
DSB GFAP 13_40X_CTX1,0.0,,0.4444444444444444,1.2,0,8,8,162,0.19550323486328125,4.6451568603515625
DSB GFAP 13_40X_CTX2,0.16666666666666666,1.0,0.5433070866141733,1.2105263157894737,1,5,6,127,0.17709732055664062,1.8231391906738281
DSB GFAP 13_40X_CTX3,0.0,,0.5081967213114754,1.2916666666666667,0,4,4,122,0.17557144165039062,1.6950607299804688
DSB GFAP 13_40X_DG,0.3333333333333333,1.5,0.6482084690553745,1.3006535947712419,4,14,18,307,0.33016204833984375,5.682182312011719
DSB GFAP 14_40X_CA1,0.8,1.0,0.8389830508474576,1.1927710843373494,8,2,10,118,0.531005859375,2.242565155029297
DSB GFAP 14_40X_CA3,1.2,1.5,0.978494623655914,1.5423728813559323,4,1,5,93,0.513458251953125,1.7438888549804688
DSB GFAP 14_40X_CTX1,0.75,1.2,0.7602339181286549,1.3829787234042554,5,3,8,171,0.5507469177246094,2.1585464477539062
DSB GFAP 14_40X_CTX2,0.5384615384615384,1.0,0.8093023255813954,1.27007299270073,7,6,13,215,0.740814208984375,3.577709197998047
DSB GFAP 14_40X_CTX3,0.2,1.0,0.8827160493827161,1.5376344086021505,1,4,5,161,0.5123138427734375,1.31683349609375
DSB GFAP 14_40X_DG,1.1304347826086956,1.7333333333333334,1.112,1.3993288590604027,15,8,23,374,1.7239570617675781,5.574798583984375
DSB GFAP 15_40X_CA1,0.8,1.1428571428571428,0.7341040462427746,1.1339285714285714,7,3,10,173,0.7237434387207031,1.6439437866210938
DSB GFAP 15_40X_CA3,0.625,1.0,0.9692307692307692,1.4318181818181819,5,3,8,130,0.6191253662109375,1.7712593078613281
DSB GFAP 15_40X_CTX1,0.3333333333333333,1.0,0.7051282051282052,1.286549707602339,1,2,3,312,0.9013175964355469,0.2964019775390625
DSB GFAP 15_40X_CTX2,0.5,1.0,0.82,1.312,5,5,10,200,0.6541252136230469,1.8911361694335938
DSB GFAP 15_40X_CTX3,1.5714285714285714,1.5714285714285714,0.7569444444444444,1.2976190476190477,7,0,7,144,0.4765510559082031,2.537822723388672
DSB GFAP 15_40X_DG,1.0,1.0,1.0658823529411765,1.3284457478005864,2,0,2,422,1.9621849060058594,1.705169677734375
DSB GFAP 16_40X_CA1,0.0,,0.47058823529411764,1.28,0,7,7,136,0.2539634704589844,1.6312599182128906
DSB GFAP 16_40X_CA3,0.0,,0.8724489795918368,1.4741379310344827,0,6,6,196,0.7426261901855469,1.0889053344726562
DSB GFAP 16_40X_CTX1,0.2,2.0,0.44549763033175355,1.0930232558139534,1,9,10,211,0.24614334106445312,3.062725067138672
DSB GFAP 16_40X_CTX2,0.375,1.5,0.5023041474654378,1.1978021978021978,2,6,8,217,0.3523826599121094,2.2581100463867188
DSB GFAP 16_40X_CTX3,,,0.4732142857142857,1.2045454545454546,0,0,0,224,0.37822723388671875,0.4387855529785156
DSB GFAP 16_40X_DG,0.6,1.5,0.8359788359788359,1.3620689655172413,4,6,10,376,0.6870269775390625,3.368377685546875
DSB GFAP 18_40X_CA1,0.6666666666666666,1.2,0.564625850340136,1.1690140845070423,5,4,9,147,0.40454864501953125,1.8751144409179688
DSB GFAP 18_40X_CA3,0.3333333333333333,1.5,0.8290598290598291,1.4923076923076923,2,7,9,117,0.5401611328125,2.7780532836914062
DSB GFAP 18_40X_CTX1,0.0,,0.5580357142857143,1.2019230769230769,0,2,2,224,0.2997398376464844,0.6608963012695312
DSB GFAP 18_40X_CTX2,0.6923076923076923,1.125,0.6701570680628273,1.3195876288659794,8,5,13,191,0.46672821044921875,3.4297943115234375
DSB GFAP 18_40X_CTX3,0.6875,1.375,0.7602339181286549,1.4942528735632183,8,8,16,171,0.4288673400878906,10.713577270507812
DSB GFAP 18_40X_DG,0.6363636363636364,1.4,1.238532110091743,1.646341463414634,10,12,22,324,1.0209083557128906,7.671833038330078
DSB GFAP 20_40X_CA1,0.0,,0.3620689655172414,1.1454545454545455,0,1,1,173,0.20666122436523438,0.46234130859375
