filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_+_dna_damage_all_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,damage_load_ratio_glia_+_cells,damage_load_ratio_all_cells
DSB GFAP 101_40X_CA1,0.1875,1.0,0.47530864197530864,1.1492537313432836,3,67,13,16,162,0.4725456237792969,3.4147262573242188,0.1875,0.41358024691358025
DSB GFAP 101_40X_CA3,0.0,,1.1517241379310346,1.67,0,100,7,7,145,0.7611274719238281,4.178619384765625,0.0,0.6896551724137931
DSB GFAP 101_40X_CTX1,0.1875,1.0,0.3522012578616352,1.037037037037037,3,54,13,16,159,0.39653778076171875,5.2127838134765625,0.1875,0.33962264150943394
DSB GFAP 101_40X_CTX2,0.3888888888888889,1.0,0.6293436293436293,1.1897810218978102,7,137,11,18,259,0.5721092224121094,6.5753936767578125,0.3888888888888889,0.528957528957529
DSB GFAP 101_40X_CTX3,0.4444444444444444,1.0,0.8072289156626506,1.4105263157894736,4,95,5,9,166,0.6003379821777344,5.749797821044922,0.4444444444444444,0.572289156626506
DSB GFAP 101_40X_DG,1.0,1.4166666666666667,1.149584487534626,1.456140350877193,12,285,5,17,361,2.020263671875,5.782604217529297,0.7058823529411765,0.7894736842105263
DSB GFAP 102_40X_CA1,0.38461538461538464,1.25,0.5517241379310345,1.1851851851851851,4,81,9,13,174,0.566864013671875,2.970409393310547,0.3076923076923077,0.46551724137931033
DSB GFAP 102_40X_CA3,0.38461538461538464,1.25,1.0084033613445378,1.518987341772152,4,79,9,13,119,0.5551338195800781,3.4982681274414062,0.3076923076923077,0.6638655462184874
DSB GFAP 102_40X_CTX1,0.25,1.0,0.36585365853658536,1.0714285714285714,3,70,9,12,205,0.4225730895996094,4.172420501708984,0.25,0.34146341463414637
DSB GFAP 102_40X_CTX2,0.4375,1.4,0.7086614173228346,1.2857142857142858,5,140,11,16,254,0.6781578063964844,6.964015960693359,0.3125,0.5511811023622047
DSB GFAP 102_40X_CTX3,0.2,1.0,0.43820224719101125,1.1142857142857143,4,70,16,20,178,0.3781318664550781,5.2921295166015625,0.2,0.39325842696629215
DSB GFAP 102_40X_DG,0.9230769230769231,1.5,1.2183908045977012,1.4982332155477032,8,283,5,13,348,1.9415855407714844,4.5467376708984375,0.6153846153846154,0.8132183908045977
DSB GFAP 103_40X_CA1,0.1,1.0,0.470873786407767,1.065934065934066,1,91,9,10,206,0.5095481872558594,2.2789955139160156,0.1,0.441747572815534
DSB GFAP 103_40X_CA3,0.7692307692307693,1.4285714285714286,0.7876106194690266,1.5344827586206897,7,58,6,13,113,0.44040679931640625,4.166889190673828,0.5384615384615384,0.5132743362831859
DSB GFAP 103_40X_CTX1,0.8333333333333334,1.6666666666666667,0.6833333333333333,1.1714285714285715,3,105,3,6,180,0.485992431640625,3.7546157836914062,0.5,0.5833333333333334
DSB GFAP 103_40X_CTX2,0.9333333333333333,1.5555555555555556,0.9444444444444444,1.3726708074534162,9,161,6,15,234,0.8861541748046875,6.214141845703125,0.6,0.688034188034188
DSB GFAP 103_40X_CTX3,0.3333333333333333,2.0,0.40437158469945356,1.2131147540983607,1,61,5,6,183,0.3008842468261719,4.137134552001953,0.16666666666666666,0.3333333333333333
DSB GFAP 103_40X_DG,0.5,1.1666666666666667,1.0614035087719298,1.4291338582677164,6,254,8,14,341,1.5256881713867188,5.080699920654297,0.42857142857142855,0.7448680351906158
DSB GFAP 104_40X_CA1,0.1111111111111111,1.0,0.8947368421052632,1.6504854368932038,1,103,8,9,190,0.6280899047851562,2.9653549194335938,0.1111111111111111,0.5421052631578948
DSB GFAP 104_40X_CA3,0.25,1.0,1.3717948717948718,2.118811881188119,4,101,12,16,156,0.8508682250976562,3.3351898193359375,0.25,0.6474358974358975
DSB GFAP 104_40X_CTX1,0.23076923076923078,1.0,0.5774647887323944,1.268041237113402,3,97,10,13,213,0.5404472351074219,3.9788246154785156,0.23076923076923078,0.45539906103286387
DSB GFAP 104_40X_CTX2,0.14285714285714285,1.0,0.4896907216494845,1.1875,2,80,12,14,194,0.36869049072265625,4.200267791748047,0.14285714285714285,0.41237113402061853
DSB GFAP 104_40X_CTX3,0.6666666666666666,1.0,0.8617886178861789,1.536231884057971,2,69,1,3,123,0.428009033203125,1.861572265625,0.6666666666666666,0.5609756097560976
DSB GFAP 104_40X_DG,0.7,1.4,1.576470588235294,1.8873239436619718,5,284,5,10,339,1.607513427734375,4.4429779052734375,0.5,0.8377581120943953
DSB GFAP 105_40X_CA1,0.2,1.25,0.4639175257731959,1.2328767123287672,4,73,21,25,194,0.45223236083984375,5.18035888671875,0.16,0.37628865979381443
DSB GFAP 105_40X_CA3,0.5,1.0,0.8157894736842105,1.3777777777777778,5,90,5,10,152,0.5575180053710938,3.0664443969726562,0.5,0.5921052631578947
DSB GFAP 105_40X_CTX1,0.5,2.0,0.5818181818181818,1.2075471698113207,1,106,3,4,220,0.5476951599121094,3.806591033935547,0.25,0.4818181818181818
DSB GFAP 105_40X_CTX2,0.8235294117647058,1.5555555555555556,0.8,1.3714285714285714,9,140,8,17,240,0.7361412048339844,6.597328186035156,0.5294117647058824,0.5833333333333334
DSB GFAP 105_40X_CTX3,0.375,1.0,0.7704918032786885,1.323943661971831,3,71,5,8,122,0.39730072021484375,2.708911895751953,0.375,0.5819672131147541
DSB GFAP 105_40X_DG,0.9444444444444444,1.5454545454545454,1.2015503875968991,1.480891719745223,11,314,7,18,385,1.9763946533203125,4.847049713134766,0.6111111111111112,0.8155844155844156
DSB GFAP 106_40X_CA1,0.3333333333333333,2.0,0.42028985507246375,1.2253521126760563,1,71,5,6,207,0.45928955078125,1.9285202026367188,0.16666666666666666,0.34299516908212563
DSB GFAP 106_40X_CA3,0.3157894736842105,1.0,0.8353658536585366,1.5393258426966292,6,89,13,19,164,0.579833984375,5.068206787109375,0.3157894736842105,0.5426829268292683
DSB GFAP 106_40X_CTX1,0.3333333333333333,1.0,0.6964285714285714,1.2380952380952381,2,126,4,6,224,0.653076171875,2.818584442138672,0.3333333333333333,0.5625
DSB GFAP 106_40X_CTX2,0.55,1.8333333333333333,0.7635467980295566,1.3478260869565217,6,115,14,20,203,0.5952835083007812,6.494140625,0.3,0.5665024630541872
DSB GFAP 106_40X_CTX3,0.36363636363636365,1.0,0.6540880503144654,1.3164556962025316,4,79,7,11,159,0.4657745361328125,3.351593017578125,0.36363636363636365,0.4968553459119497
