filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal
DSB Iba1 16_40X_CA1,0.9365079365079365,1.923913043478261,0.8362068965517241,1.7962962962962963,92,97,189,232,1.0966300964355469,88.63372802734375
DSB Iba1 16_40X_CA3,4.513513513513513,4.7175141242937855,4.40625,4.726256983240224,177,8,185,192,18.227672576904297,96.34952545166016
DSB Iba1 16_40X_CTX1,0.6428571428571429,1.6875,0.6483516483516484,1.8829787234042554,16,26,42,272,0.8442878723144531,13.598442077636719
DSB Iba1 16_40X_CTX2,2.240663900414938,2.26890756302521,2.327067669172932,2.38996138996139,238,3,241,266,39.40544128417969,94.93074417114258
DSB Iba1 16_40X_CTX3,2.019230769230769,2.1,1.7385892116182573,2.053921568627451,100,4,104,241,9.070396423339844,54.768943786621094
DSB Iba1 16_40X_DG,0.6628959276018099,1.3820754716981132,0.6535087719298246,1.3796296296296295,212,230,438,452,1.1308670043945312,87.15362548828125
DSB Iba1 17_40X_CA1,1.8181818181818181,2.5,2.7653061224489797,3.985294117647059,8,3,11,196,2.4562835693359375,5.763816833496094
DSB Iba1 17_40X_CA3,1.3157894736842106,1.9230769230769231,3.6174863387978142,4.762589928057554,13,6,19,183,5.110073089599609,6.432056427001953
DSB Iba1 17_40X_CTX1,2.411764705882353,2.9285714285714284,1.2769230769230768,2.141935483870968,14,3,17,260,1.3278961181640625,2.6453018188476562
DSB Iba1 17_40X_CTX2,2.8461538461538463,2.9019607843137254,2.552980132450331,2.6404109589041096,51,1,52,302,29.742717742919922,11.802101135253906
DSB Iba1 17_40X_CTX3,2.6296296296296298,2.6296296296296298,2.8944444444444444,3.196319018404908,27,0,27,180,18.192768096923828,9.359455108642578
DSB Iba1 17_40X_DG,3.12751677852349,3.352517985611511,2.543560606060606,2.9712389380530975,139,10,149,525,5.62286376953125,44.407081604003906
DSB Iba1 18_40X_CA1,1.3571428571428572,1.3571428571428572,2.5347222222222223,2.5347222222222223,14,0,14,144,71.99668884277344,10.935688018798828
DSB Iba1 18_40X_CA3,1.9166666666666667,1.9166666666666667,4.074074074074074,4.11214953271028,12,0,12,108,36.4354133605957,7.825183868408203
DSB Iba1 18_40X_CTX1,1.8421052631578947,2.6923076923076925,1.88,2.858108108108108,13,6,19,225,3.3540725708007812,3.196430206298828
DSB Iba1 18_40X_CTX2,3.2,3.2,3.7294117647058824,3.8658536585365852,20,0,20,255,40.91596603393555,5.939960479736328
DSB Iba1 18_40X_CTX3,3.0588235294117645,3.466666666666667,2.5789473684210527,3.3923076923076922,15,2,17,171,18.92385482788086,1.9624710083007812
