filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_+_dna_damage_all_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,damage_load_ratio_glia_+_cells,damage_load_ratio_all_cells
DSB Iba1 101_40X_CA1,1.0,1.3333333333333333,0.5733333333333334,1.4098360655737705,9,61,3,12,150,0.7833480834960938,1.6779899597167969,0.75,0.4066666666666667
DSB Iba1 101_40X_CA3,0.7777777777777778,1.0,0.9349593495934959,1.513157894736842,7,76,2,9,123,1.2866973876953125,2.1356582641601562,0.7777777777777778,0.6178861788617886
DSB Iba1 101_40X_CTX1,1.1,1.375,0.9580838323353293,1.415929203539823,24,113,6,30,167,2.621173858642578,5.073738098144531,0.8,0.6766467065868264
DSB Iba1 101_40X_CTX2,1.3636363636363635,1.6666666666666667,0.8983739837398373,1.4076433121019107,9,157,2,11,246,1.90887451171875,5.266761779785156,0.8181818181818182,0.6382113821138211
DSB Iba1 101_40X_CTX3,0.5333333333333333,1.3333333333333333,0.759656652360515,1.3014705882352942,6,136,9,15,233,1.6230583190917969,3.1785964965820312,0.4,0.5836909871244635
DSB Iba1 101_40X_DG,1.2,1.7142857142857142,1.3,1.5350553505535056,14,271,6,20,319,4.331111907958984,5.922412872314453,0.7,0.8495297805642633
DSB Iba1 102_40X_CA1,0.2222222222222222,1.0,0.3697916666666667,1.1451612903225807,2,62,7,9,191,0.9188652038574219,2.603435516357422,0.2222222222222222,0.32460732984293195
DSB Iba1 102_40X_CA3,1.0,1.5,0.890625,1.5616438356164384,4,73,2,6,128,1.2639999389648438,2.784252166748047,0.6666666666666666,0.5703125
DSB Iba1 102_40X_CTX1,0.8333333333333334,1.5,0.7142857142857143,1.2980769230769231,20,104,16,36,189,1.2109756469726562,4.2667388916015625,0.5555555555555556,0.5502645502645502
DSB Iba1 102_40X_CTX2,1.0952380952380953,1.9166666666666667,0.7781569965870307,1.425,12,160,9,21,293,1.8208503723144531,2.9754638671875,0.5714285714285714,0.5460750853242321
DSB Iba1 102_40X_CTX3,1.0454545454545454,1.3529411764705883,0.8795180722891566,1.4313725490196079,17,153,5,22,249,2.0293235778808594,3.9920806884765625,0.7727272727272727,0.6144578313253012
DSB Iba1 102_40X_DG,1.1,1.5714285714285714,1.2924281984334203,1.523076923076923,14,325,6,20,382,4.564476013183594,4.560565948486328,0.7,0.8507853403141361
DSB Iba1 103_40X_CA1,1.0,1.2,0.573170731707317,1.1604938271604939,5,81,1,6,164,1.0846138000488281,1.0839462280273438,0.8333333333333334,0.49390243902439024
DSB Iba1 103_40X_CA3,1.2,1.7142857142857142,0.9912280701754386,1.547945205479452,7,73,3,10,114,1.2698173522949219,3.0869483947753906,0.7,0.6403508771929824
DSB Iba1 103_40X_CTX1,0.4444444444444444,1.1428571428571428,0.46835443037974683,1.088235294117647,7,68,11,18,158,0.9360313415527344,1.7186164855957031,0.3888888888888889,0.43037974683544306
DSB Iba1 103_40X_CTX2,1.3888888888888888,1.7857142857142858,1.1932773109243697,1.6045197740112995,14,177,4,18,238,2.3061752319335938,2.9226303100585938,0.7777777777777778,0.7436974789915967
