index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_+_dna_damage_all_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,damage_load_ratio_glia_+_cells,damage_load_ratio_all_cells,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
0,DSB GFAP 101_40X_CA1,0.1875,1.0,0.4753086419753086,1.1492537313432836,3,67,13,16,162,0.4725456237792969,3.4147262573242188,0.1875,0.4135802469135802,CA1,101,2119,female,APP/PS1,good,passed,optimal,optimal,True
1,DSB GFAP 101_40X_CA3,0.0,,1.1517241379310346,1.67,0,100,7,7,145,0.7611274719238281,4.178619384765625,0.0,0.6896551724137931,CA3,101,2119,female,APP/PS1,good,passed,optimal,optimal,True
2,DSB GFAP 101_40X_CTX1,0.1875,1.0,0.3522012578616352,1.037037037037037,3,54,13,16,159,0.3965377807617187,5.2127838134765625,0.1875,0.3396226415094339,CTX1,101,2119,female,APP/PS1,good,passed,optimal,optimal,True
3,DSB GFAP 101_40X_CTX2,0.3888888888888889,1.0,0.6293436293436293,1.1897810218978102,7,137,11,18,259,0.5721092224121094,6.5753936767578125,0.3888888888888889,0.528957528957529,CTX2,101,2119,female,APP/PS1,good,passed,optimal,optimal,True
4,DSB GFAP 101_40X_CTX3,0.4444444444444444,1.0,0.8072289156626506,1.4105263157894736,4,95,5,9,166,0.6003379821777344,5.749797821044922,0.4444444444444444,0.572289156626506,CTX3,101,2119,female,APP/PS1,good,passed,optimal,optimal,True
5,DSB GFAP 101_40X_DG,1.0,1.4166666666666667,1.149584487534626,1.456140350877193,12,285,5,17,361,2.020263671875,5.782604217529297,0.7058823529411765,0.7894736842105263,DG,101,2119,female,APP/PS1,good,passed,optimal,optimal,True
6,DSB GFAP 102_40X_CA1,0.3846153846153846,1.25,0.5517241379310345,1.1851851851851851,4,81,9,13,174,0.566864013671875,2.970409393310547,0.3076923076923077,0.4655172413793103,CA1,102,2121,male,APP/PS1,good,passed,optimal,optimal,True
7,DSB GFAP 102_40X_CA3,0.3846153846153846,1.25,1.0084033613445378,1.518987341772152,4,79,9,13,119,0.5551338195800781,3.4982681274414062,0.3076923076923077,0.6638655462184874,CA3,102,2121,male,APP/PS1,good,passed,optimal,optimal,True
8,DSB GFAP 102_40X_CTX1,0.25,1.0,0.3658536585365853,1.0714285714285714,3,70,9,12,205,0.4225730895996094,4.172420501708984,0.25,0.3414634146341463,CTX1,102,2121,male,APP/PS1,good,passed,optimal,optimal,True
9,DSB GFAP 102_40X_CTX2,0.4375,1.4,0.7086614173228346,1.2857142857142858,5,140,11,16,254,0.6781578063964844,6.964015960693359,0.3125,0.5511811023622047,CTX2,102,2121,male,APP/PS1,good,passed,optimal,optimal,True
