index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
0,DSB Iba1 16_40X_CA1,0.1836734693877551,1.0,0.3333333333333333,1.0454545454545454,9,40,49,207,0.2091407775878906,29.991817474365234,CA1,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
1,DSB Iba1 16_40X_CA3,0.7068965517241379,1.7826086956521738,0.7857142857142857,1.662790697674419,23,35,58,182,0.51116943359375,51.08165740966797,CA3,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
2,DSB Iba1 16_40X_CTX1,0.0625,1.0,0.1835205992509363,1.0208333333333333,2,30,32,267,0.1309394836425781,5.708789825439453,CTX1,16,887,male,APP/PS1,poor,failed,optimal,optimal,False
3,DSB Iba1 16_40X_CTX2,0.625,1.2962962962962965,0.4907749077490775,1.2666666666666666,54,58,112,271,0.2966880798339844,46.03719711303711,CTX2,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
4,DSB Iba1 16_40X_CTX3,0.5535714285714286,1.1923076923076923,0.5650406504065041,1.3627450980392155,26,30,56,246,0.3927230834960937,13.168621063232422,CTX3,16,887,male,APP/PS1,poor,failed,optimal,optimal,False
5,DSB Iba1 16_40X_DG,0.2575757575757575,1.4166666666666667,0.3777777777777777,1.2142857142857142,12,54,66,225,0.2111434936523437,40.506649017333984,DG,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
6,DSB Iba1 17_40X_CA1,0.2,1.0,0.3526011560693641,1.1090909090909091,2,8,10,173,0.1756668090820312,3.2949447631835938,CA1,17,892,female,APP/PS1,poor,failed,optimal,optimal,True
7,DSB Iba1 17_40X_CA3,0.2777777777777778,1.0,0.6033519553072626,1.44,5,13,18,179,0.3710746765136719,5.452728271484375,CA3,17,892,female,APP/PS1,poor,failed,optimal,optimal,True
8,DSB Iba1 17_40X_CTX1,0.4736842105263157,1.125,0.2808988764044944,1.0416666666666667,8,11,19,267,0.1898765563964843,2.763843536376953,CTX1,17,892,female,APP/PS1,poor,failed,optimal,optimal,True
9,DSB Iba1 17_40X_CTX2,0.5106382978723404,1.0909090909090908,0.3322784810126582,1.1290322580645162,22,25,47,316,0.3108024597167969,8.469390869140625,CTX2,17,892,female,APP/PS1,poor,failed,optimal,optimal,True
10,DSB Iba1 17_40X_CTX3,0.8529411764705882,1.5263157894736843,0.8944444444444445,1.788888888888889,19,15,34,180,0.6266593933105469,8.745861053466797,CTX3,17,892,female,APP/PS1,poor,failed,optimal,optimal,True
11,DSB Iba1 17_40X_DG,0.21875,1.1666666666666667,0.4076923076923077,1.2183908045977012,6,26,32,260,0.3207206726074219,7.556247711181641,DG,17,892,female,APP/PS1,poor,failed,optimal,optimal,True
12,DSB Iba1 18_40X_CA1,0.6666666666666666,2.0,0.8090909090909091,1.5084745762711864,2,4,6,110,0.4940032958984375,5.909156799316406,CA1,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,False
13,DSB Iba1 18_40X_CA3,0.6363636363636364,1.4,0.7766990291262136,1.6666666666666667,5,6,11,103,0.3874778747558594,5.659770965576172,CA3,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,False
14,DSB Iba1 18_40X_CTX1,0.25,1.0,0.1061224489795918,1.0833333333333333,5,15,20,245,0.0653266906738281,3.380870819091797,CTX1,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,False
15,DSB Iba1 18_40X_CTX2,0.5,1.3333333333333333,0.1629629629629629,1.0731707317073171,6,10,16,270,0.139617919921875,5.550956726074219,CTX2,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,False
