index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
0,DSB Iba1 16_40X_CA1,0.9681528662420382,2.026666666666667,0.8894472361809045,1.806122448979592,75,82,157,199,1.0966300964355469,88.63372802734375,CA1,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
1,DSB Iba1 16_40X_CA3,4.409356725146199,4.569696969696969,4.318681318681318,4.517241379310345,165,6,171,182,18.227672576904297,96.34952545166016,CA3,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
2,DSB Iba1 16_40X_CTX1,1.051282051282051,2.1578947368421053,0.7242798353909465,1.872340425531915,19,20,39,243,0.8442878723144531,13.59844207763672,CTX1,16,887,male,APP/PS1,poor,failed,optimal,optimal,False
3,DSB Iba1 16_40X_CTX2,2.623931623931624,2.6695652173913045,2.698795180722892,2.7540983606557377,230,4,234,249,39.40544128417969,94.93074417114258,CTX2,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
4,DSB Iba1 16_40X_CTX3,2.4098360655737703,2.534482758620689,2.0405405405405403,2.311224489795918,116,6,122,222,9.070396423339844,54.76894378662109,CTX3,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
5,DSB Iba1 16_40X_DG,1.0198019801980198,1.8392857142857144,0.9908256880733946,1.7851239669421488,112,90,202,218,1.1308670043945312,87.15362548828125,DG,16,887,male,APP/PS1,poor,failed,suboptimal,optimal,False
6,DSB Iba1 17_40X_CA1,2.1,3.0,2.825806451612903,3.842105263157895,7,3,10,155,2.456283569335937,5.763816833496094,CA1,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
7,DSB Iba1 17_40X_CA3,2.2,2.933333333333333,3.831460674157303,4.736111111111111,15,5,20,178,5.110073089599609,6.432056427001953,CA3,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
8,DSB Iba1 17_40X_CTX1,2.8,3.5,1.384297520661157,2.2333333333333334,12,3,15,242,1.3278961181640625,2.645301818847656,CTX1,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
9,DSB Iba1 17_40X_CTX2,4.0,4.181818181818182,3.068592057761733,3.1954887218045114,44,2,46,277,29.74271774291992,11.802101135253906,CTX2,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
10,DSB Iba1 17_40X_CTX3,3.3783783783783785,3.3783783783783785,3.398876404494382,3.6666666666666665,37,0,37,178,18.192768096923828,9.359455108642578,CTX3,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
11,DSB Iba1 17_40X_DG,4.863013698630137,5.298507462686567,3.4017094017094016,4.082051282051282,67,6,73,234,5.62286376953125,44.40708160400391,DG,17,892,female,APP/PS1,poor,failed,suboptimal,optimal,False
12,DSB Iba1 18_40X_CA1,2.0,2.0,2.353846153846154,2.353846153846154,14,0,14,130,71.99668884277344,10.935688018798828,CA1,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,suboptimal,False
13,DSB Iba1 18_40X_CA3,2.8,2.8,3.90625,3.98936170212766,15,0,15,96,36.4354133605957,7.825183868408203,CA3,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,False
14,DSB Iba1 18_40X_CTX1,3.1818181818181817,4.117647058823529,1.946188340807175,3.013888888888889,17,5,22,223,3.354072570800781,3.196430206298828,CTX1,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,False
15,DSB Iba1 18_40X_CTX2,4.444444444444445,4.705882352941177,3.5133079847908744,3.725806451612903,17,1,18,263,40.91596603393555,5.939960479736328,CTX2,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,False
