index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_+_dna_damage_all_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,damage_load_ratio_glia_+_cells,damage_load_ratio_all_cells,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
0,DSB Iba1 101_40X_CA1,1.0,1.3333333333333333,0.5733333333333334,1.4098360655737705,9,61,3,12,150,0.7833480834960938,1.6779899597167969,0.75,0.4066666666666667,CA1,101,2119,female,APP/PS1,good,passed,optimal,optimal,True
1,DSB Iba1 101_40X_CA3,0.7777777777777778,1.0,0.934959349593496,1.513157894736842,7,76,2,9,123,1.2866973876953125,2.135658264160156,0.7777777777777778,0.6178861788617886,CA3,101,2119,female,APP/PS1,good,passed,optimal,optimal,True
2,DSB Iba1 101_40X_CTX1,1.1,1.375,0.9580838323353292,1.415929203539823,24,113,6,30,167,2.621173858642578,5.073738098144531,0.8,0.6766467065868264,CTX1,101,2119,female,APP/PS1,good,passed,optimal,optimal,True
3,DSB Iba1 101_40X_CTX2,1.3636363636363635,1.6666666666666667,0.8983739837398373,1.4076433121019107,9,157,2,11,246,1.90887451171875,5.266761779785156,0.8181818181818182,0.6382113821138211,CTX2,101,2119,female,APP/PS1,good,passed,optimal,optimal,True
4,DSB Iba1 101_40X_CTX3,0.5333333333333333,1.3333333333333333,0.759656652360515,1.3014705882352942,6,136,9,15,233,1.6230583190917969,3.1785964965820312,0.4,0.5836909871244635,CTX3,101,2119,female,APP/PS1,good,passed,optimal,optimal,True
5,DSB Iba1 101_40X_DG,1.2,1.7142857142857142,1.3,1.5350553505535056,14,271,6,20,319,4.331111907958984,5.922412872314453,0.7,0.8495297805642633,DG,101,2119,female,APP/PS1,good,passed,optimal,optimal,True
6,DSB Iba1 102_40X_CA1,0.2222222222222222,1.0,0.3697916666666667,1.1451612903225807,2,62,7,9,191,0.918865203857422,2.603435516357422,0.2222222222222222,0.3246073298429319,CA1,102,2121,male,APP/PS1,good,passed,optimal,optimal,True
7,DSB Iba1 102_40X_CA3,1.0,1.5,0.890625,1.5616438356164384,4,73,2,6,128,1.2639999389648438,2.784252166748047,0.6666666666666666,0.5703125,CA3,102,2121,male,APP/PS1,good,passed,optimal,optimal,True
8,DSB Iba1 102_40X_CTX1,0.8333333333333334,1.5,0.7142857142857143,1.2980769230769231,20,104,16,36,189,1.2109756469726562,4.2667388916015625,0.5555555555555556,0.5502645502645502,CTX1,102,2121,male,APP/PS1,good,passed,optimal,optimal,True
9,DSB Iba1 102_40X_CTX2,1.0952380952380951,1.9166666666666667,0.7781569965870307,1.425,12,160,9,21,293,1.820850372314453,2.9754638671875,0.5714285714285714,0.5460750853242321,CTX2,102,2121,male,APP/PS1,good,passed,optimal,optimal,True
