filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal
DSB Iba1 16_40X_CA1,0.1836734693877551,1.0,0.3333333333333333,1.0454545454545454,9,40,49,207,0.20914077758789062,29.991817474365234
DSB Iba1 16_40X_CA3,0.7068965517241379,1.7826086956521738,0.7857142857142857,1.6627906976744187,23,35,58,182,0.51116943359375,51.08165740966797
DSB Iba1 16_40X_CTX1,0.0625,1.0,0.18352059925093633,1.0208333333333333,2,30,32,267,0.13093948364257812,5.708789825439453
DSB Iba1 16_40X_CTX2,0.625,1.2962962962962963,0.4907749077490775,1.2666666666666666,54,58,112,271,0.2966880798339844,46.03719711303711
DSB Iba1 16_40X_CTX3,0.5535714285714286,1.1923076923076923,0.5650406504065041,1.3627450980392157,26,30,56,246,0.39272308349609375,13.168621063232422
DSB Iba1 16_40X_DG,0.25757575757575757,1.4166666666666667,0.37777777777777777,1.2142857142857142,12,54,66,225,0.21114349365234375,40.506649017333984
DSB Iba1 17_40X_CA1,0.2,1.0,0.35260115606936415,1.1090909090909091,2,8,10,173,0.17566680908203125,3.2949447631835938
DSB Iba1 17_40X_CA3,0.2777777777777778,1.0,0.6033519553072626,1.44,5,13,18,179,0.3710746765136719,5.452728271484375
DSB Iba1 17_40X_CTX1,0.47368421052631576,1.125,0.2808988764044944,1.0416666666666667,8,11,19,267,0.18987655639648438,2.763843536376953
DSB Iba1 17_40X_CTX2,0.5106382978723404,1.0909090909090908,0.3322784810126582,1.1290322580645162,22,25,47,316,0.3108024597167969,8.469390869140625
DSB Iba1 17_40X_CTX3,0.8529411764705882,1.5263157894736843,0.8944444444444445,1.788888888888889,19,15,34,180,0.6266593933105469,8.745861053466797
DSB Iba1 17_40X_DG,0.21875,1.1666666666666667,0.4076923076923077,1.2183908045977012,6,26,32,260,0.3207206726074219,7.556247711181641
