filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal
DSB Iba1 16_40X_CA1,0.1896551724137931,1.0,0.30808080808080807,1.0338983050847457,11,47,58,198,0.17080307006835938,29.991817474365234
DSB Iba1 16_40X_CA3,0.6883116883116883,1.65625,0.6994535519125683,1.5421686746987953,32,45,77,183,0.4139900207519531,51.08156204223633
DSB Iba1 16_40X_CTX1,0.08571428571428572,1.0,0.1646090534979424,1.0256410256410255,3,32,35,243,0.10004043579101562,5.708789825439453
DSB Iba1 16_40X_CTX2,0.5648854961832062,1.2982456140350878,0.42570281124497994,1.2325581395348837,57,74,131,249,0.21800994873046875,46.03729248046875
DSB Iba1 16_40X_CTX3,0.543859649122807,1.1481481481481481,0.5246636771300448,1.3928571428571428,27,30,57,223,0.29659271240234375,13.168621063232422
DSB Iba1 16_40X_DG,0.22784810126582278,1.5,0.2672811059907834,1.2340425531914894,12,67,79,217,0.1560211181640625,40.506839752197266
DSB Iba1 17_40X_CA1,0.1,1.0,0.3225806451612903,1.1111111111111112,1,9,10,155,0.13637542724609375,3.2949447631835938
DSB Iba1 17_40X_CA3,0.2222222222222222,1.0,0.5056179775280899,1.3235294117647058,4,14,18,178,0.2896308898925781,5.452728271484375
DSB Iba1 17_40X_CTX1,0.3157894736842105,1.0,0.24380165289256198,1.0,6,13,19,242,0.15544891357421875,2.763843536376953
DSB Iba1 17_40X_CTX2,0.5813953488372093,1.3157894736842106,0.3140794223826715,1.144736842105263,19,24,43,277,0.24576187133789062,8.469390869140625
DSB Iba1 17_40X_CTX3,0.7894736842105263,1.5789473684210527,0.8595505617977528,1.7386363636363635,19,19,38,178,0.5042076110839844,8.745861053466797
DSB Iba1 17_40X_DG,0.3939393939393939,1.0833333333333333,0.4110169491525424,1.2278481012658229,12,21,33,236,0.24499893188476562,7.556247711181641
DSB Iba1 18_40X_CA1,0.875,2.3333333333333335,0.5538461538461539,1.309090909090909,3,5,8,130,0.2682685852050781,5.909156799316406
DSB Iba1 18_40X_CA3,0.9,1.5,0.5684210526315789,1.3846153846153846,6,4,10,95,0.24471282958984375,5.6598663330078125
DSB Iba1 18_40X_CTX1,0.13636363636363635,1.0,0.06756756756756757,1.0,3,19,22,222,0.033664703369140625,3.380870819091797
DSB Iba1 18_40X_CTX2,0.3157894736842105,1.0,0.12167300380228137,1.0,6,13,19,263,0.07190704345703125,5.550956726074219
DSB Iba1 18_40X_CTX3,0.4117647058823529,1.0,0.17333333333333334,1.1818181818181819,7,10,17,150,0.09584426879882812,1.6345977783203125
DSB Iba1 18_40X_DG,2.0,2.3225806451612905,1.1647727272727273,1.8303571428571428,31,5,36,176,1.4016151428222656,13.618087768554688
