filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal
DSB Iba1 16_40X_CA1,0.3333333333333333,1.0769230769230769,0.3484848484848485,1.0615384615384615,52,116,168,198,0.20914077758789062,88.63372802734375
DSB Iba1 16_40X_CA3,0.7740112994350282,1.670731707317073,0.7923497267759563,1.686046511627907,82,95,177,183,0.51116943359375,96.34952545166016
DSB Iba1 16_40X_CTX1,0.12244897959183673,1.0,0.20164609053497942,1.0208333333333333,6,43,49,243,0.13093948364257812,13.598442077636719
DSB Iba1 16_40X_CTX2,0.5333333333333333,1.3061224489795917,0.5301204819277109,1.306930693069307,98,142,240,249,0.2966880798339844,94.93074417114258
DSB Iba1 16_40X_CTX3,0.6376811594202898,1.353846153846154,0.6098654708520179,1.431578947368421,65,73,138,223,0.39272308349609375,54.768943786621094
DSB Iba1 16_40X_DG,0.3671497584541063,1.2881355932203389,0.3778801843317972,1.3015873015873016,59,148,207,217,0.21114349365234375,87.15362548828125
DSB Iba1 17_40X_CA1,0.18181818181818182,1.0,0.4,1.1071428571428572,2,9,11,155,0.17566680908203125,5.763816833496094
DSB Iba1 17_40X_CA3,0.5,1.5,0.651685393258427,1.4683544303797469,8,16,24,178,0.3710746765136719,6.432056427001953
DSB Iba1 17_40X_CTX1,0.5714285714285714,1.0909090909090908,0.30165289256198347,1.0579710144927537,11,10,21,242,0.18987655639648438,2.6453018188476562
DSB Iba1 17_40X_CTX2,0.6724137931034483,1.2580645161290323,0.37906137184115524,1.1666666666666667,31,27,58,277,0.3108024597167969,11.802101135253906
DSB Iba1 17_40X_CTX3,0.925,1.5416666666666667,0.9719101123595506,1.8404255319148937,24,16,40,178,0.6266593933105469,9.359455108642578
DSB Iba1 17_40X_DG,0.5,1.2857142857142858,0.5,1.2688172043010753,35,55,90,236,0.3207206726074219,44.407081604003906
DSB Iba1 18_40X_CA1,0.95,1.5833333333333333,0.8461538461538461,1.4864864864864864,12,8,20,130,0.4940032958984375,10.935688018798828
DSB Iba1 18_40X_CA3,1.368421052631579,1.8571428571428572,0.7473684210526316,1.42,14,5,19,95,0.3874778747558594,7.825183868408203
DSB Iba1 18_40X_CTX1,0.20833333333333334,1.0,0.12162162162162163,1.125,5,19,24,222,0.06532669067382812,3.196430206298828
DSB Iba1 18_40X_CTX2,0.43478260869565216,1.25,0.17490494296577946,1.0952380952380953,8,15,23,263,0.139617919921875,5.939960479736328
DSB Iba1 18_40X_CTX3,0.5294117647058824,1.0,0.24,1.2,9,8,17,150,0.14705657958984375,1.9624710083007812
DSB Iba1 18_40X_DG,2.0121951219512195,2.391304347826087,1.6534090909090908,2.2045454545454546,69,13,82,176,2.2159576416015625,53.77206802368164
DSB Iba1 19_40X_CA1,1.7659574468085106,2.024390243902439,1.9787234042553192,2.268292682926829,41,6,47,47,3.5797119140625,97.84984588623047
DSB Iba1 19_40X_CA3,1.8181818181818181,2.2222222222222223,2.0444444444444443,2.4210526315789473,36,8,44,45,2.885150909423828,98.4278678894043
DSB Iba1 19_40X_CTX1,1.0,1.6883116883116882,1.1384615384615384,1.783132530120482,77,53,130,130,1.7220497131347656,98.56758117675781
DSB Iba1 19_40X_CTX2,0.7608695652173914,1.3461538461538463,0.7735849056603774,1.3666666666666667,26,20,46,53,0.6727218627929688,92.62237548828125
DSB Iba1 19_40X_CTX3,0.4246575342465753,1.3478260869565217,0.4878048780487805,1.4285714285714286,23,50,73,82,0.31070709228515625,87.97607421875
DSB Iba1 19_40X_DG,3.0793650793650795,3.2333333333333334,3.3333333333333335,3.442622950819672,60,3,63,63,4.388427734375,97.98297882080078
DSB Iba1 20_40X_CA1,0.75,1.2,0.6503496503496503,1.24,5,3,8,143,0.34999847412109375,1.447296142578125
DSB Iba1 20_40X_CA3,1.0,1.4285714285714286,0.9586776859504132,1.5890410958904109,7,3,10,121,0.4387855529785156,1.7178535461425781
DSB Iba1 20_40X_CTX1,1.25,2.5,0.46703296703296704,1.1486486486486487,4,4,8,182,0.19025802612304688,0.8257865905761719
DSB Iba1 20_40X_CTX2,1.3529411764705883,1.7692307692307692,0.8553459119496856,1.431578947368421,13,4,17,159,0.4044532775878906,2.0682334899902344
DSB Iba1 20_40X_CTX3,0.3333333333333333,1.0,0.46226415094339623,1.0888888888888888,1,2,3,106,0.22602081298828125,0.5598068237304688
DSB Iba1 20_40X_DG,1.1666666666666667,1.75,1.3345454545454545,1.5751072961373391,4,2,6,274,0.9352684020996094,2.9237747192382812
DSB Iba1 21_40X_CA1,1.0,1.5714285714285714,0.7851851851851852,1.2045454545454546,7,4,11,135,0.3556251525878906,2.5424957275390625
DSB Iba1 21_40X_CA3,0.6,1.0,0.7610619469026548,1.5636363636363637,3,2,5,113,0.342559814453125,1.3544082641601562
DSB Iba1 21_40X_CTX1,1.2727272727272727,2.0,0.6262626262626263,1.2783505154639174,14,8,22,198,0.4111289978027344,3.311634063720703
DSB Iba1 21_40X_CTX2,1.0625,1.3076923076923077,0.6553191489361702,1.2833333333333334,13,3,16,235,0.42018890380859375,3.338623046875
DSB Iba1 21_40X_CTX3,1.25,1.75,0.6717948717948717,1.4719101123595506,20,8,28,195,0.366973876953125,4.6970367431640625
DSB Iba1 21_40X_DG,0.9444444444444444,1.4166666666666667,1.1423357664233578,1.4694835680751173,12,6,18,274,0.9407997131347656,3.5135269165039062
DSB Iba1 22_40X_CA1,0.7222222222222222,1.8571428571428572,0.8,1.380952380952381,7,11,18,145,0.4444122314453125,6.178569793701172
DSB Iba1 22_40X_CA3,1.1428571428571428,2.0,0.9302325581395349,1.8461538461538463,4,3,7,129,0.5006790161132812,3.7606239318847656
DSB Iba1 22_40X_CTX1,1.0,1.8571428571428572,0.7851239669421488,1.3669064748201438,7,6,13,242,0.5188941955566406,3.6371231079101562
DSB Iba1 22_40X_CTX2,0.631578947368421,1.5,0.6823529411764706,1.45,8,11,19,255,0.5146026611328125,4.0191650390625
DSB Iba1 22_40X_CTX3,0.9090909090909091,1.6666666666666667,0.3192771084337349,1.2619047619047619,6,5,11,166,0.10004043579101562,0.730133056640625
DSB Iba1 22_40X_DG,0.9444444444444444,1.5454545454545454,1.35202492211838,1.6692307692307693,11,7,18,321,1.319122314453125,5.748558044433594
DSB Iba1 23_40X_CA1,0.2857142857142857,1.0,0.5813953488372093,1.2096774193548387,2,5,7,129,0.26092529296875,4.248046875
DSB Iba1 23_40X_CA3,0.8571428571428571,2.0,0.6019417475728155,1.4090909090909092,3,4,7,103,0.22268295288085938,2.0812034606933594
DSB Iba1 23_40X_CTX1,0.35714285714285715,1.1111111111111112,0.33152173913043476,1.0338983050847457,9,19,28,184,0.17824172973632812,5.792427062988281
DSB Iba1 23_40X_CTX2,0.0,,0.06857142857142857,1.0909090909090908,0,5,5,175,0.022602081298828125,0.7174491882324219
DSB Iba1 23_40X_CTX3,0.625,1.1111111111111112,0.6187050359712231,1.2463768115942029,9,7,16,139,0.235748291015625,2.988147735595703
DSB Iba1 23_40X_DG,0.7692307692307693,1.6666666666666667,1.0264900662251655,1.390134529147982,6,7,13,300,0.6613731384277344,7.934856414794922
DSB Iba1 24_40X_CA1,0.0,,0.3888888888888889,1.105263157894737,0,9,9,162,0.1312255859375,0.7791519165039062
DSB Iba1 24_40X_CA3,0.25,1.0,0.4642857142857143,1.2093023255813953,1,3,4,112,0.11043548583984375,0.9073257446289062
DSB Iba1 24_40X_CTX1,0.045454545454545456,1.0,0.1590909090909091,1.0,1,21,22,176,0.0873565673828125,1.7583847045898438
DSB Iba1 24_40X_CTX2,0.2413793103448276,1.0,0.19921875,1.0408163265306123,7,22,29,256,0.096893310546875,3.3802032470703125
DSB Iba1 24_40X_CTX3,0.1,1.0,0.1890547263681592,1.0857142857142856,2,18,20,201,0.09794235229492188,1.4982223510742188
DSB Iba1 24_40X_DG,0.2857142857142857,1.0,0.09900990099009901,1.0526315789473684,2,5,7,202,0.0400543212890625,0.8672714233398438
DSB Iba1 25_40X_CA1,0.7272727272727273,1.6,0.8389261744966443,1.3736263736263736,5,6,11,149,0.4874229431152344,3.1706809997558594
DSB Iba1 25_40X_CA3,0.8666666666666667,1.4444444444444444,0.8275862068965517,1.5584415584415585,9,6,15,145,0.4986763000488281,2.813243865966797
DSB Iba1 25_40X_CTX1,0.45454545454545453,1.1111111111111112,0.45255474452554745,1.0689655172413792,9,13,22,137,0.21810531616210938,3.438568115234375
DSB Iba1 25_40X_CTX2,0.8928571428571429,1.6666666666666667,0.7668393782383419,1.4653465346534653,15,13,28,193,0.38814544677734375,6.374835968017578
DSB Iba1 25_40X_CTX3,1.0,1.4444444444444444,0.919047619047619,1.5078125,9,4,13,210,0.5010604858398438,2.7411460876464844
DSB Iba1 25_40X_DG,1.2666666666666666,1.7272727272727273,1.585987261146497,1.8241758241758241,11,4,15,314,1.6371726989746094,3.3510208129882812
DSB Iba1 26_40X_CA1,0.8571428571428571,1.3333333333333333,0.5,1.3243243243243243,9,5,14,98,0.2736091613769531,5.84564208984375
DSB Iba1 26_40X_CA3,1.0,1.1666666666666667,0.6153846153846154,1.3333333333333333,6,1,7,52,0.4375457763671875,6.870269775390625
DSB Iba1 26_40X_CTX1,0.6666666666666666,1.2,0.6285714285714286,1.346938775510204,10,8,18,105,0.81024169921875,11.133575439453125
DSB Iba1 26_40X_CTX2,0.5263157894736842,1.1111111111111112,0.3877551020408163,1.1875,9,10,19,98,0.482177734375,13.045120239257812
DSB Iba1 26_40X_CTX3,0.9024390243902439,1.4230769230769231,0.6759259259259259,1.3773584905660377,26,15,41,108,0.7335662841796875,27.424240112304688
DSB Iba1 26_40X_DG,0.7333333333333333,2.2,0.42953020134228187,1.391304347826087,5,10,15,149,0.48694610595703125,7.449054718017578
DSB Iba1 27_40X_DG,1.0,2.25,1.28,1.9393939393939394,4,5,9,100,0.9477615356445312,1.7447471618652344
DSB Iba1 28_40X_CA1,0.3333333333333333,1.0,0.9523809523809523,1.5384615384615385,1,2,3,63,0.469970703125,2.5665283203125
DSB Iba1 28_40X_CA3,0.0,,0.44,1.32,0,4,4,75,0.3864288330078125,2.448272705078125
DSB Iba1 28_40X_CTX1,0.14285714285714285,1.0,0.3853211009174312,1.024390243902439,1,6,7,109,0.5664825439453125,3.2138824462890625
DSB Iba1 28_40X_CTX2,0.6470588235294118,1.5714285714285714,0.5164319248826291,1.264367816091954,7,10,17,213,0.22430419921875,2.5005340576171875
DSB Iba1 28_40X_CTX3,0.75,1.125,0.8598130841121495,1.393939393939394,8,4,12,214,0.3245353698730469,2.412891387939453
DSB Iba1 28_40X_DG,2.125,2.55,1.8996138996138996,2.148471615720524,20,4,24,259,1.7148971557617188,7.0148468017578125
DSB Iba1 29_40X_CA1,1.1111111111111112,1.6666666666666667,0.6567164179104478,1.1733333333333333,6,3,9,134,0.3452301025390625,2.208709716796875
DSB Iba1 29_40X_CA3,0.8333333333333334,1.25,0.5833333333333334,1.3725490196078431,4,2,6,120,0.30231475830078125,1.9129753112792969
DSB Iba1 29_40X_CTX1,0.8260869565217391,1.7272727272727273,0.5202020202020202,1.2117647058823529,11,12,23,198,0.3643989562988281,5.022335052490234
DSB Iba1 29_40X_CTX2,1.1111111111111112,1.6666666666666667,0.8592964824120602,1.3790322580645162,18,9,27,199,0.551605224609375,7.678985595703125
DSB Iba1 29_40X_CTX3,0.7857142857142857,1.375,0.49710982658959535,1.2112676056338028,8,6,14,173,0.197601318359375,3.7689208984375
DSB Iba1 29_40X_DG,0.875,1.4,1.0321428571428573,1.4522613065326633,5,3,8,280,0.8409500122070312,2.2146224975585938
DSB Iba1 30_40X_CA1,0.0,,0.5267175572519084,1.3018867924528301,0,10,10,131,0.17566680908203125,1.6625404357910156
DSB Iba1 30_40X_CA3,0.5,1.5,0.7403846153846154,1.54,2,4,6,104,0.3167152404785156,1.3019561767578125
DSB Iba1 30_40X_CTX1,0.7619047619047619,2.0,0.3878504672897196,1.1369863013698631,8,13,21,214,0.20236968994140625,2.7807235717773438
DSB Iba1 30_40X_CTX2,0.42857142857142855,1.5,0.4430379746835443,1.2209302325581395,6,15,21,237,0.22821426391601562,2.3637771606445312
DSB Iba1 30_40X_CTX3,0.7142857142857143,1.4285714285714286,0.27411167512690354,1.148936170212766,7,7,14,195,0.10433197021484375,1.4829635620117188
DSB Iba1 30_40X_DG,0.42857142857142855,1.5,0.8535714285714285,1.3976608187134503,2,5,7,279,0.5678176879882812,2.1762847900390625
DSB Iba1 31_40X_CA1,1.0,1.75,0.8410596026490066,1.3655913978494623,8,6,14,151,0.3924369812011719,3.8471221923828125
DSB Iba1 31_40X_CA3,0.3333333333333333,1.0,0.8652849740932642,1.3916666666666666,1,2,3,193,0.6452560424804688,1.2179374694824219
DSB Iba1 31_40X_CTX1,0.3684210526315789,1.4,0.37185929648241206,1.0724637681159421,5,14,19,199,0.18320083618164062,3.5140037536621094
DSB Iba1 31_40X_CTX2,0.3888888888888889,1.1666666666666667,0.48559670781893005,1.1683168316831682,6,12,18,243,0.2105712890625,2.9596328735351562
DSB Iba1 31_40X_CTX3,0.5882352941176471,1.25,0.6666666666666666,1.3012048192771084,8,9,17,162,0.30727386474609375,3.2898902893066406
DSB Iba1 31_40X_DG,1.2307692307692308,2.0,1.3895582329317269,1.7743589743589743,8,5,13,249,0.8093833923339844,3.9017677307128906
DSB Iba1 32_40X_CA1,0.38461538461538464,1.4285714285714286,0.7073170731707317,1.5064935064935066,7,19,26,164,0.31223297119140625,14.134979248046875
DSB Iba1 32_40X_CA3,1.0,1.8333333333333333,1.2835820895522387,1.8695652173913044,18,15,33,134,0.6804466247558594,14.082717895507812
DSB Iba1 32_40X_CTX1,0.6610169491525424,1.4444444444444444,0.5821428571428572,1.304,27,32,59,280,0.3292083740234375,14.151763916015625
DSB Iba1 32_40X_CTX2,0.9736842105263158,1.6444444444444444,0.7679324894514767,1.4918032786885247,45,31,76,237,0.4338264465332031,17.71411895751953
DSB Iba1 32_40X_CTX3,0.82,1.4137931034482758,0.9354838709677419,1.5963302752293578,29,21,50,186,0.357818603515625,10.771465301513672
DSB Iba1 32_40X_DG,0.8591549295774648,1.8484848484848484,0.5542635658914729,1.5376344086021505,33,38,71,258,0.4597663879394531,27.629661560058594
DSB Iba1 33_40X_CA1,1.0,1.5,0.6619718309859155,1.205128205128205,4,2,6,142,0.3518104553222656,2.395153045654297
DSB Iba1 33_40X_CA3,0.6363636363636364,1.4,0.8556149732620321,1.3675213675213675,5,6,11,187,0.6498336791992188,1.8873214721679688
DSB Iba1 33_40X_CTX1,0.6,1.5,0.5874439461883408,1.1592920353982301,4,6,10,223,0.5475997924804688,1.194000244140625
DSB Iba1 33_40X_CTX2,1.2142857142857142,1.7,0.7980295566502463,1.396551724137931,10,4,14,203,0.5225181579589844,2.6653289794921875
DSB Iba1 33_40X_CTX3,0.5555555555555556,1.25,0.6153846153846154,1.2151898734177216,4,5,9,156,0.31833648681640625,2.5826454162597656
DSB Iba1 33_40X_DG,1.0909090909090908,1.7142857142857142,1.298360655737705,1.6363636363636365,7,4,11,305,1.3701438903808594,3.2654762268066406
DSB Iba1 34_40X_CA1,1.6842105263157894,2.6666666666666665,1.163265306122449,1.9655172413793103,12,7,19,147,0.7212638854980469,5.395984649658203
DSB Iba1 34_40X_CA3,1.125,1.2857142857142858,1.5862068965517242,2.134020618556701,7,1,8,261,1.6454696655273438,4.882526397705078
DSB Iba1 34_40X_CTX1,0.875,1.5217391304347827,0.8489932885906041,1.4540229885057472,23,17,40,298,0.8446693420410156,6.429195404052734
DSB Iba1 34_40X_CTX2,1.0185185185185186,1.6176470588235294,1.0610687022900764,1.6646706586826348,34,20,54,262,0.832366943359375,9.554862976074219
DSB Iba1 34_40X_CTX3,1.2121212121212122,1.5384615384615385,1.212962962962963,1.6903225806451614,26,7,33,216,1.5863418579101562,7.129859924316406
DSB Iba1 34_40X_DG,1.1379310344827587,1.65,1.64321608040201,2.1233766233766236,20,9,29,199,1.4467239379882812,9.005355834960938
DSB Iba1 35_40X_CA1,0.6666666666666666,2.0,0.22857142857142856,1.1428571428571428,4,8,12,175,0.12960433959960938,3.268909454345703
DSB Iba1 35_40X_CA3,0.9333333333333333,1.5555555555555556,0.7732558139534884,1.4777777777777779,27,18,45,172,0.4532814025878906,21.718120574951172
DSB Iba1 35_40X_CTX1,0.5714285714285714,1.2307692307692308,0.2839506172839506,1.0952380952380953,13,15,28,243,0.14820098876953125,4.521656036376953
DSB Iba1 35_40X_CTX2,0.7682119205298014,1.6111111111111112,0.6627906976744186,1.5405405405405406,72,79,151,258,0.42705535888671875,49.62272644042969
DSB Iba1 35_40X_CTX3,0.8484848484848485,1.6470588235294117,0.7696335078534031,1.5806451612903225,51,48,99,191,0.431060791015625,36.1638069152832
DSB Iba1 35_40X_DG,1.0256410256410255,1.6666666666666667,0.9829931972789115,1.5210526315789474,72,45,116,293,0.8222579956054688,46.29859924316406
DSB Iba1 36_40X_CA1,0.8333333333333334,1.3636363636363635,0.6993865030674846,1.1875,11,7,18,163,0.6620407104492188,2.2858619689941406
DSB Iba1 36_40X_CA3,0.75,2.0,0.7829457364341085,1.3466666666666667,3,5,8,129,0.5223274230957031,1.1386871337890625
DSB Iba1 36_40X_CTX1,1.05,1.5,0.9866666666666667,1.4230769230769231,14,6,20,225,0.8052825927734375,3.6052703857421875
DSB Iba1 36_40X_CTX2,1.4193548387096775,2.0,0.9322033898305084,1.4473684210526316,22,9,31,236,0.7004737854003906,4.596138000488281
DSB Iba1 36_40X_CTX3,1.3571428571428572,1.9,0.9545454545454546,1.4538461538461538,10,4,14,198,0.55999755859375,2.627086639404297
DSB Iba1 36_40X_DG,1.1111111111111112,1.6666666666666667,1.3345724907063197,1.6775700934579438,6,3,9,268,1.6710281372070312,1.8873214721679688
DSB Iba1 37_40X_CA1,0.375,1.0,0.514792899408284,1.1917808219178083,3,5,8,169,0.3253936767578125,1.4169692993164062
DSB Iba1 37_40X_CA3,0.07142857142857142,1.0,0.6620689655172414,1.6271186440677967,1,13,14,145,0.40721893310546875,3.2583236694335938
DSB Iba1 37_40X_CTX1,0.8421052631578947,1.3333333333333333,0.5604838709677419,1.1982758620689655,12,7,19,248,0.4077911376953125,2.8922080993652344
DSB Iba1 37_40X_CTX2,0.7666666666666667,1.6428571428571428,0.7454545454545455,1.3486842105263157,14,16,30,275,0.6011009216308594,6.322193145751953
DSB Iba1 37_40X_CTX3,0.7894736842105263,1.3636363636363635,0.7624309392265194,1.2897196261682242,22,16,38,181,0.5366325378417969,5.6529998779296875
DSB Iba1 37_40X_DG,0.2,2.0,1.1061946902654867,1.5923566878980893,1,9,10,224,1.0011672973632812,2.9592514038085938
DSB Iba1 38_40X_DG,0.875,1.4,0.8305084745762712,1.53125,5,3,8,59,0.4906654357910156,1.7245292663574219
DSB Iba1 39_40X_CA1,1.0,2.0,0.6016949152542372,1.109375,3,3,6,118,0.3540992736816406,1.2140274047851562
DSB Iba1 39_40X_CA3,0.42857142857142855,1.0,0.7064220183486238,1.2833333333333334,3,4,7,109,0.4584312438964844,1.1082649230957031
DSB Iba1 39_40X_CTX1,0.2857142857142857,1.0,0.33727810650887574,1.0555555555555556,2,5,7,169,0.18901824951171875,0.3711700439453125
DSB Iba1 39_40X_CTX2,0.125,1.0,0.31100478468899523,1.0833333333333333,1,7,8,209,0.1605987548828125,0.34961700439453125
DSB Iba1 39_40X_CTX3,0.6,1.5,0.2236842105263158,1.0303030303030303,2,3,5,152,0.09870529174804688,0.2208709716796875
DSB Iba1 39_40X_DG,1.1,1.375,0.7692307692307693,1.3475177304964538,8,2,10,247,0.605010986328125,1.7183303833007812
DSB Iba1 40_40X_CA1,0.4,1.0,0.3722627737226277,1.108695652173913,2,3,5,137,0.218963623046875,1.3429641723632812
DSB Iba1 40_40X_CA3,0.625,1.0,0.6206896551724138,1.2272727272727273,5,3,8,87,0.24929046630859375,1.7145156860351562
DSB Iba1 40_40X_CTX1,0.9090909090909091,1.6666666666666667,0.5853658536585366,1.2972972972972974,12,10,22,164,0.3066062927246094,3.7994384765625
DSB Iba1 40_40X_CTX2,0.5882352941176471,1.25,0.5220125786163522,1.0921052631578947,8,9,17,159,0.22096633911132812,3.7548065185546875
