filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal
DSB Iba1 16_40X_CA1,0.5714285714285714,1.5,0.8404907975460123,1.611764705882353,32,52,84,163,1.0966300964355469,66.74537658691406
DSB Iba1 16_40X_CA3,2.776,3.043859649122807,4.049079754601227,4.230769230769231,114,11,125,163,18.227672576904297,83.35733413696289
DSB Iba1 16_40X_CTX1,0.696969696969697,1.6428571428571428,0.7387387387387387,1.8222222222222222,14,19,33,222,0.8442878723144531,5.467891693115234
DSB Iba1 16_40X_CTX2,1.7121951219512195,1.763819095477387,2.5352697095435683,2.5889830508474576,199,6,205,241,39.40544128417969,80.53531646728516
DSB Iba1 16_40X_CTX3,1.9866666666666666,2.0694444444444446,2.0047846889952154,2.277173913043478,72,3,75,209,9.070396423339844,19.513893127441406
DSB Iba1 16_40X_DG,0.9370629370629371,1.8356164383561644,1.0,1.8585858585858586,73,70,143,184,1.1308670043945312,70.63474655151367
DSB Iba1 17_40X_CA1,1.5555555555555556,2.3333333333333335,2.8551724137931034,3.980769230769231,6,3,9,145,2.4562835693359375,2.0333290100097656
DSB Iba1 17_40X_CA3,1.2777777777777777,1.9166666666666667,3.2754491017964074,4.143939393939394,12,6,18,167,5.110073089599609,3.7955284118652344
DSB Iba1 17_40X_CTX1,2.2142857142857144,2.8181818181818183,1.4018264840182648,2.1319444444444446,11,3,14,219,1.3278961181640625,1.6919136047363281
DSB Iba1 17_40X_CTX2,2.772727272727273,2.975609756097561,2.867424242424242,3.0159362549800797,41,3,44,264,29.742717742919922,7.447719573974609
DSB Iba1 17_40X_CTX3,2.108108108108108,2.1666666666666665,3.1636363636363636,3.411764705882353,36,1,37,165,18.192768096923828,6.618022918701172
DSB Iba1 17_40X_DG,3.2954545454545454,3.625,3.330316742081448,3.9783783783783786,40,4,44,221,5.62286376953125,15.38534164428711
DSB Iba1 18_40X_CA1,1.0,1.0,2.2641509433962264,2.2641509433962264,5,0,5,106,71.99668884277344,4.378700256347656
DSB Iba1 18_40X_CA3,1.5,1.5,3.4918032786885247,3.736842105263158,4,0,4,61,36.4354133605957,4.350185394287109
DSB Iba1 18_40X_CTX1,1.9230769230769231,2.5,1.7098445595854923,2.7966101694915255,10,3,13,192,3.3540725708007812,2.0244598388671875
DSB Iba1 18_40X_CTX2,1.7692307692307692,1.9166666666666667,3.1666666666666665,3.3990825688073394,12,1,13,234,40.91596603393555,3.620433807373047
DSB Iba1 18_40X_CTX3,2.9,2.9,2.9838709677419355,3.3636363636363638,10,0,10,124,18.92385482788086,1.084136962890625
DSB Iba1 18_40X_DG,1.0,1.0,1.4150943396226414,1.4150943396226414,49,0,49,159,83.64906311035156,25.786685943603516
DSB Iba1 19_40X_CA1,1.0,1.0,1.0,1.0,37,0,37,37,99.50284957885742,94.42176818847656
DSB Iba1 19_40X_CA3,1.0,1.0,1.0,1.0,33,0,33,34,99.35731887817383,96.11063003540039
DSB Iba1 19_40X_CTX1,1.0,1.0,1.0,1.0,106,0,106,109,99.45621490478516,97.23987579345703
DSB Iba1 19_40X_CTX2,1.0,1.0,1.0,1.0,29,0,29,42,97.04084396362305,81.25772476196289
DSB Iba1 19_40X_CTX3,1.0,1.0,1.0,1.0,28,0,28,58,98.70357513427734,52.16951370239258
